State,County,Democratic,Republican,Party
TX,bell,48421.93124356351,57741.67928170429,0
TX,bexar,282133.74717215274,265342.54474025185,1
TX,blanco,2665.211754912303,3548.7249321221498,0
TX,borden,730.5615521003965,1518.3709374314203,0
TX,bosque,2525.2008027759985,4263.221932802224,0
TX,bowie,10811.724763915947,15544.510236313843,0
TX,brazoria,56937.629553953535,52519.08673744068,0
TX,brazos,52313.612262590046,28585.082940244276,0
TX,brewster,2923.3997891383297,2852.086671168723,1
TX,brown,4981.364410249382,7990.324422169955,0
TX,burleson,1797.3938204399492,3651.941636002033,0
TX,burnet,7330.792421869959,9332.33482837536,0
TX,caldwell,2530.19715367979,6652.958554956185,0
TX,calhoun,1739.2665954300828,4637.260713669342,0
TX,callahan,2201.5121816918436,4181.3274716175365,0
TX,camp,1571.2679266345476,2984.683593738806,1
TX,carson,1915.3047411213993,2687.040926382211,0
TX,castro,621.8132410608196,2044.5110193666442,0
TX,cherokee,4295.025657041457,7407.459591116636,0
TX,clay,1747.8959445118526,3595.99440028752,0
TX,cochran,506.33162126463867,1621.097172651902,0
TX,coke,898.7769530156111,1950.3851761830083,0
TX,collin,319764.7439032303,152887.34900544334,1
TX,colorado,2624.060813759297,4116.235490518704,0
TX,comal,31069.014474836917,25866.030258652347,0
TX,comanche,1777.8511726147408,3344.016091724996,0
TX,cooke,6016.771009322289,8341.324665411938,0
TX,coryell,7246.636577714304,14928.920228687839,0
TX,cottle,678.108099201716,1472.8261798986823,0
TX,crane,609.5468691628048,1834.734356058103,0
TX,crockett,637.6329573541552,1804.9919388148955,0
TX,crosby,774.6828673927739,1934.6216397341268,0
TX,culberson,425.582887538807,1497.8673041750008,0
TX,dallam,482.2966829893303,2095.6933473269855,0
TX,dallas,403847.3972223157,175142.83403005294,1
TX,dawson,-96.76766453473829,2747.1428854093538,1
TX,dewitt,1216.4216714813483,4121.864472458421,0
TX,deaf smith,1060.9756280979673,3142.654039754485,0
TX,denton,225917.0083216275,132830.35830583159,1
TX,dimmit,541.561010094636,2066.0402460927507,1
TX,donley,903.9629722746286,2052.2208466106167,0
TX,duval,14.66132044832193,2152.436154159659,1
TX,eastland,2121.503305207858,4446.727191359449,0
TX,el paso,77330.52349062485,92431.599839781,1
TX,falls,1569.0336075682935,2732.034890388124,0
TX,fannin,2407.9642003815316,6749.333244118578,0
TX,fayette,3036.18111994199,5052.651436041098,0
TX,fisher,1092.5894700247773,1984.0876165016525,0
